"PLAYER","WINDOW","POSITION","COUNTRY","FROM","TO","DESCRIPTION","PRICE","LEAGUE","SEASON"
"Paul Pogba","Pre-Season","Midfielder","France","Juventus","Manchester United","Sold",105000000,"EPL","16/17"
"Gareth Bale","Pre-Season","Midfielder","Wales","Tottenham","Real Madrid","Sold",100000000,"La Liga","13/14"
"Luis Suarez","Pre-Season","Attacker","Uruguay","Liverpool","Barcelona","Sold",95000000,"La Liga","14/15"
"Ronaldo","Pre-Season",NA,NA,"Manchester United","Real Madrid","Sold",93900000,"La Liga","09/10"
"Gonzalo Higuain","Pre-Season","Attacker","Argentina","Napoli","Juventus","Sold",90000000,"Serie A","16/17"
"James Rodriguez","Pre-Season","Midfielder","Colombia","Monaco","Real Madrid","Sold",80000000,"La Liga","14/15"
"Kevin De Bruyne","Pre-Season","Midfielder","Belgium","Wolfsburg","Manchester City","Sold",76000000,"EPL","15/16"
"Angel Di Maria","Pre-Season","Midfielder","Argentina","Real Madrid","Manchester United","Sold",75000000,"EPL","14/15"
"Raheem Sterling","Pre-Season","Midfielder","England","Liverpool","Manchester City","Sold",69400000,"EPL","15/16"
"Zlatan Ibrahimovic","Pre-Season",NA,NA,"Inter Milan","Barcelona","Sold",69000000,"La Liga","09/10"
"Kaka","Pre-Season",NA,NA,"AC Milan","Real Madrid","Sold",68400000,"La Liga","09/10"
"Edinson Cavani","Pre-Season","Attacker","Uruguay","Napoli","PSG","Sold",64500000,"ROE","13/14"
"Angel di Maria","Pre-Season","Midfielder","Argentina","Manchester United","PSG","Sold",63000000,"ROE","15/16"
"Radamel Falcao","Pre-Season","Attacker","Colombia","Atletico Madrid","Monaco","Sold",60000000,"ROE","13/14"
"Fernando Torres","Mid-Season",NA,"Spain","Liverpool","Chelsea","Sold",58400000,"EPL","10/11"
"Neymar","Pre-Season","Attacker","Brazil","Santos","Barcelona","Sold",57000000,"La Liga","13/14"
"John Stones","Pre-Season","Defender","England","Everton","Manchester City","Sold",55500000,"EPL","16/17"
"Eliaquim Mangala","Pre-Season","Defender","France","Porto","Manchester City","Sold",54000000,"EPL","14/15"
"Andre Gomes","Pre-Season","Midfielder","Portugal","Valencia","Barcelona","Sold",50000000,"La Liga","16/17"
"Mesut Ozil","Pre-Season","Midfielder","Germany","Real Madrid","Arsenal","Sold",50000000,"EPL","13/14"
"David Luiz","Pre-Season","Defender","Brazil","Chelsea","PSG","Sold",49000000,"ROE","14/15"
"Anthony Martial","Pre-Season","Attacker","France","Monaco","Manchester United","Sold",49000000,"EPL","15/16"
"Christian Benteke","Pre-Season","Attacker","Belgium","Aston Villa","Liverpool","Sold",46500000,"EPL","15/16"
"James Rodriguez","Pre-Season","Midfielder","Colombia","Porto","Monaco","Sold",45000000,"ROE","13/14"
"Lucas Moura","Mid-Season","Attacker","Brazil","Sao Paulo","PSG","Sold",45000000,"ROE","12/13"
"Granit Xhaka","Pre-Season","Midfielder","Switzerland","Bor. Mgladbach","Arsenal","Sold",45000000,"EPL","16/17"
"Leroy Sane","Pre-Season","Midfielder","Germany","Schalke","Manchester City","Sold",45000000,"EPL","16/17"
"Nicolas Otamendi","Pre-Season","Defender","Argentina","Valencia","Manchester City","Sold",45000000,"EPL","15/16"
"Sergio Aguero","Pre-Season","Attacker","Argentina","Atletico Madrid","Manchester City","Sold",45000000,"EPL","11/12"
"Juan Mata","Mid-Season",NA,"Spain","Chelsea","Manchester United","Sold",44700000,"EPL","13/14"
"Alexis Sanchez","Pre-Season","Attacker","Chile","Barcelona","Arsenal","Sold",44000000,"EPL","14/15"
"Thiago Silva","Pre-Season","Defender","Brazil","AC Milan","PSG","Sold",42000000,"ROE","12/13"
"Andy Carroll","Mid-Season",NA,"England","Newcastle","Liverpool","Sold",41000000,"EPL","10/11"
"Karim Benzema","Pre-Season",NA,NA,"Lyon","Real Madrid","Sold",41000000,"La Liga","09/10"
"Shkodran Mustafi","Pre-Season","Defender","Germany","Valencia","Arsenal","Sold",41000000,"EPL","16/17"
"Sadio Mane","Pre-Season","Attacker","Senegal","Southampton","Liverpool","Sold",41000000,"EPL","16/17"
"Roberto Firmino","Pre-Season","Attacker","Brazil","Hoffenheim","Liverpool","Sold",41000000,"EPL","15/16"
"Hulk","Pre-Season","Attacker","Brazil","Porto","Zenit","Sold",40000000,"ROE","12/13"
