Placement,TO,Revenue,SEASON
1,Manchester United,689000000.0,16/17
2,Barcelona,620200000.0,16/17
3,Real Madrid,620100000.0,16/17
4,Bayern Munich,592000000.0,16/17
5,Manchester City,524900000.0,16/17
6,Paris Saint‑Germain,520900000.0,16/17
7,Arsenal,468500000.0,16/17
8,Chelsea,447400000.0,16/17
9,Liverpool,403800000.0,16/17
10,Juventus,341100000.0,16/17
11,Borussia Dortmund,283900000.0,16/17
12,Tottenham Hotspur,279700000.0,16/17
13,Atlético Madrid,228600000.0,16/17
14,Schalke 04,224500000.0,16/17
15,Roma,218200000.0,16/17
16,Milan,214700000.0,16/17
17,Zenit Saint Petersburg,196500000.0,16/17
18,West Ham United,192300000.0,16/17
19,Internazionale,179200000.0,16/17
20,Leicester City,172100000.0,16/17
21,Newcastle United,168200000.0,16/17
22,Southampton,163300000.0,16/17
23,Everton,162500000.0,16/17
24,Lyon,160000000.0,16/17
25,Fenerbahçe,157700000.0,16/17
26,Galatasaray,155900000.0,16/17
27,Benfica,152100000.0,16/17
28,Borussia Mönchengladbach,149300000.0,16/17
29,Sunderland,144400000.0,16/17
30,Napoli,142700000.0,16/17
1,Real Madrid,577000000.0,15/16
2,Barcelona,560800000.0,15/16
3,Manchester United,519500000.0,15/16
4,Paris Saint‑Germain,480800000.0,15/16
5,Bayern Munich,474000000.0,15/16
6,Manchester City,463500000.0,15/16
7,Arsenal,435500000.0,15/16
8,Chelsea,420000000.0,15/16
9,Liverpool,391800000.0,15/16
10,Juventus,323900000.0,15/16
11,Borussia Dortmund,280600000.0,15/16
12,Tottenham Hotspur,257500000.0,15/16
13,Schalke 04,219700000.0,15/16
14,Milan,199100000.0,15/16
15,Atlético Madrid,187100000.0,15/16
16,Roma,180400000.0,15/16
17,Newcastle United,169300000.0,15/16
18,Everton,165100000.0,15/16
19,Internazionale,164800000.0,15/16
20,West Ham United,160900000.0,15/16
21,Galatasaray,159100000.0,15/16
22,Southampton,149500000.0,15/16
23,Aston Villa,148800000.0,15/16
24,Leicester City,137200000.0,15/16
25,Sunderland,132900000.0,15/16
26,Swansea City,132800000.00000001,15/16
27,Stoke City,130900000.0,15/16
28,Crystal Palace,130800000.00000001,15/16
29,West Bromwich Albion,126600000.0,15/16
30,Napoli,125500000.0,15/16
1,Real Madrid,549500000.0,14/15
2,Manchester United,518000000.0,14/15
3,Bayern Munich,487500000.0,14/15
4,Barcelona,484600000.0,14/15
5,Paris Saint‑Germain,474200000.0,14/15
6,Manchester City,414400000.0,14/15
7,Chelsea,387900000.0,14/15
8,Arsenal,359300000.0,14/15
9,Liverpool,305900000.0,14/15
10,Juventus,279400000.0,14/15
11,Borussia Dortmund,261500000.0,14/15
12,Milan,249700000.0,14/15
13,Tottenham Hotspur,215800000.0,14/15
14,Schalke 04,213900000.0,14/15
15,Atlético Madrid,169900000.0,14/15
16,Napoli,164800000.0,14/15
17,Internazionale,164000000.0,14/15
18,Galatasaray,161900000.0,14/15
19,Newcastle United,155100000.0,14/15
20,Everton,144100000.0,14/15
21,West Ham United,137400000.0,14/15
22,Aston Villa,133000000.0,14/15
23,Marseille,130500000.0,14/15
24,Roma,127400000.0,14/15
25,Southampton,126900000.0,14/15
26,Benfica,126000000.0,14/15
27,Sunderland,124800000.0,14/15
28,Hamburger SV,120300000.0,14/15
29,Swansea City,118000000.0,14/15
30,Stoke City,117600000.0,14/15
1,Real Madrid,518900000.0,13/14
2,Barcelona,482600000.0,13/14
3,Bayern Munich,431200000.0,13/14
4,Manchester United,423800000.0,13/14
5,Paris Saint‑Germain,398800000.0,13/14
6,Manchester City,316200000.0,13/14
7,Chelsea,303400000.0,13/14
8,Arsenal,284300000.0,13/14
9,Juventus,272400000.0,13/14
10,Milan,263500000.0,13/14
11,Borussia Dortmund,256200000.0,13/14
12,Liverpool,240600000.0,13/14
13,Schalke 04,198200000.0,13/14
14,Tottenham Hotspur,172000000.0,13/14
15,Internazionale,168800000.0,13/14
16,Galatasaray,157000000.0,13/14
17,Hamburger SV,135400000.0,13/14
18,Fenerbahçe,126400000.0,13/14
19,Roma,124400000.0,13/14
20,Atlético Madrid,120000000.0,13/14
21,VfB Stuttgart,116500000.0,13/14
22,Napoli,116400000.0,13/14
23,Valencia,116000000.0,13/14
24,Corinthians,113300000.0,13/14
25,Newcastle United,111900000.0,13/14
26,Benfica,109200000.0,13/14
27,Ajax,107600000.0,13/14
28,Lazio,106200000.0,13/14
29,West Ham United,104800000.0,13/14
30,Marseille,104300000.0,13/14
1,Real Madrid,512600000.0,12/13
2,Barcelona,483000000.0,12/13
3,Manchester United,395900000.0,12/13
4,Bayern Munich,368400000.0,12/13
5,Chelsea,322600000.0,12/13
6,Arsenal,290300000.0,12/13
7,Manchester City,285600000.0,12/13
8,Milan,256899999.99999997,12/13
9,Liverpool,233200000.0,12/13
10,Paris Saint‑Germain,220500000.0,12/13
11,Internazionale,200600000.0,12/13
12,Dortmund,196700000.0,12/13
13,Juventus,195400000.0,12/13
14,Tottenham Hotspur,178200000.0,12/13
15,Schalke 04,174500000.0,12/13
16,Napoli,148400000.0,12/13
17,Marseille,135700000.0,12/13
18,Lyon,131900000.0,12/13
19,Galatasaray,129699999.99999999,12/13
20,Hamburger SV,121100000.0,12/13
21,Roma,115900000.0,12/13
22,Newcastle United,115300000.0,12/13
23,Valencia,111100000.0,12/13
24,Benfica,111100000.0,12/13
25,Atlético Madrid,107900000.0,12/13
26,Ajax,104100000.0,12/13
27,VfB Stuttgart,103200000.0,12/13
28,Everton,99500000.0,12/13
29,Aston Villa,98600000.0,12/13
30,Fulham,98000000.0,12/13
31,Sunderland,96400000.0,
32,Corinthians,94100000.0,
1,Real Madrid,479500000.0,11/12
2,Barcelona,450700000.0,11/12
3,Manchester United,367000000.0,11/12
4,Bayern Munich,321400000.0,11/12
5,Arsenal,251100000.0,11/12
6,Chelsea,249800000.0,11/12
7,Milan,235100000.0,11/12
8,Internazionale,211400000.0,11/12
9,Liverpool,203300000.0,11/12
10,Schalke 04,202400000.0,11/12
11,Tottenham Hotspur,181000000.0,11/12
12,Manchester City,169600000.0,11/12
13,Juventus,153900000.0,11/12
14,Marseille,150400000.0,11/12
15,Roma,143500000.0,11/12
16,Dortmund,138500000.0,11/12
17,Lyon,132800000.00000001,11/12
18,Hamburger SV,128800000.00000001,11/12
19,Valencia,116800000.0,11/12
20,Napoli,114900000.0,11/12
21,Benfica,102500000.0,11/12
22,Atlético Madrid,99900000.0,11/12
23,Werder Bremen,99700000.0,11/12
24,Aston Villa,99300000.0,11/12
25,Newcastle United,98000000.0,11/12
26,Ajax,97100000.0,11/12
27,VfB Stuttgart,95500000.0,11/12
28,Everton,90800000.0,11/12
29,West Ham United,89100000.0,11/12
30,Sunderland,87900000.0,11/12
1,Real Madrid,438600000.0,10/11
2,Barcelona,398100000.0,10/11
3,Manchester United,349800000.0,10/11
4,Bayern Munich,323000000.0,10/11
5,Arsenal,274100000.0,10/11
6,Chelsea,255900000.0,10/11
7,Milan,235800000.0,10/11
8,Liverpool,225300000.0,10/11
9,Internazionale,224800000.0,10/11
10,Juventus,205000000.0,10/11
11,Manchester City,152800000.0,10/11
12,Tottenham Hotspur,146300000.0,10/11
13,Hamburger SV,146200000.0,10/11
14,Lyon,146100000.0,10/11
15,Marseille,141100000.0,10/11
16,Schalke 04,139800000.0,10/11
17,Atlético Madrid,124500000.0,10/11
18,Roma,122700000.0,10/11
19,VfB Stuttgart,114800000.0,10/11
20,Aston Villa,109400000.0,10/11
21,Fiorentina,106400000.0,10/11
22,Borussia Dortmund,105200000.0,10/11
23,Bordeaux,102800000.0,10/11
24,Sevilla,99600000.0,10/11
25,Valencia,99300000.0,10/11
26,Benfica,98200000.0,10/11
27,Everton,96600000.0,10/11
28,Werder Bremen,96500000.0,10/11
29,Napoli,95100000.0,10/11
30,Fulham,94200000.0,10/11
31,West Ham United,87600000.0,10/11
1,Real Madrid,401400000.0,09/10
2,Barcelona,365900000.0,09/10
3,Manchester United,327000000.0,09/10
4,Bayern Munich,289500000.0,09/10
5,Arsenal,263000000.0,09/10
6,Chelsea,242300000.0,09/10
7,Liverpool,237000000.0,09/10
8,Juventus,203200000.0,09/10
9,Internazionale,196500000.0,09/10
10,Milan,196500000.0,09/10
11,Hamburger SV,146700000.0,09/10
12,Roma,146400000.0,09/10
13,Lyon,139600000.0,09/10
14,Marseille,133199999.99999999,09/10
15,Tottenham Hotspur,132699999.99999999,09/10
16,Schalke 04,124500000.0,09/10
17,Werder Bremen,114700000.0,09/10
18,Borussia Dortmund,103500000.0,09/10
19,Manchester City,101200000.0,09/10
20,Newcastle United,101000000.0,09/10
1,Real Madrid,365800000.0,08/09
2,Manchester United,324800000.0,08/09
3,Barcelona,308800000.0,08/09
4,Bayern Munich,295300000.0,08/09
5,Chelsea,268900000.0,08/09
6,Arsenal,264000000.0,08/09
7,Liverpool,210900000.0,08/09
8,Milan,209500000.0,08/09
9,Roma,175400000.0,08/09
10,Internazionale,172900000.0,08/09
11,Juventus,167500000.0,08/09
12,Lyon,155700000.0,08/09
13,Schalke 04,148400000.0,08/09
14,Tottenham Hotspur,145000000.0,08/09
15,Hamburger SV,127900000.0,08/09
16,Marseille,126800000.0,08/09
17,Newcastle United,125600000.0,08/09
18,VfB Stuttgart,111500000.0,08/09
19,Fenerbahçe,111300000.0,08/09
20,Manchester City,104000000.0,08/09
1,Real Madrid,351000000.0,07/08
2,Manchester United,315200000.0,07/08
3,Barcelona,290100000.0,07/08
4,Chelsea,283000000.0,07/08
5,Arsenal,263899999.99999997,07/08
6,A.C. Milan,227200000.0,07/08
7,Bayern Munich,223300000.0,07/08
8,Liverpool,198900000.0,07/08
9,Internazionale,195000000.0,07/08
10,Roma,157600000.0,07/08
11,Tottenham Hotspur,153100000.0,07/08
12,Juventus,145200000.0,07/08
13,Lyon,140600000.0,07/08
14,Newcastle United,129400000.0,07/08
15,Hamburger SV,120400000.0,07/08
16,Schalke 04,114300000.0,07/08
17,Celtic,111800000.0,07/08
18,Valencia,107600000.0,07/08
19,Marseille,99000000.0,07/08
20,Werder Bremen,97300000.0,07/08
