Rating,Res_Rating,TO,SEASON
1,100,Real Madrid,16/17
2,99,Bayern München,16/17
3,98,FC Barcelona,16/17
4,97,Atlético Madrid,16/17
5,96,Juventus,16/17
6,95,Paris Saint-Germain,16/17
7,94,Borussia Dortmund,16/17
8,93,Sevilla,16/17
9,92,Benfica,16/17
10,91,Chelsea,16/17
11,90,Arsenal,16/17
12,89,Manchester City,16/17
13,88,FC Porto,16/17
14,87,Schalke 04,16/17
15,86,Manchester United,16/17
16,85,Bayer Leverkusen,16/17
17,84,Napoli,16/17
18,83,Shakhtar Donetsk,16/17
19,82,Zenit St. Petersburg,16/17
20,81,Tottenham Hotspur,16/17
21,80,Valencia,16/17
22,79,FC Basel,16/17
23,78,Olympique Lyon,16/17
24,77,Fiorentina,16/17
25,76,Dinamo Kiev,16/17
26,75,Ajax,16/17
27,74,Villarreal,16/17
28,73,Olympiakos Piraeus,16/17
29,72,AS Monaco,16/17
30,71,Athletic Bilbao,16/17
31,70,Galatasaray,16/17
32,69,Anderlecht,16/17
33,68,Lazio,16/17
34,67,Liverpool,16/17
35,66,VfL Wolfsburg,16/17
36,65,Borussia Mönchengladbach,16/17
37,64,AS Roma,16/17
38,63,Dnipro Dnipropetrovsk,16/17
39,62,Fenerbahçe,16/17
40,61,Sparta Praha,16/17
41,60,AC Milan,16/17
42,59,PSV Eindhoven,16/17
43,58,Besiktas,16/17
44,57,Racing Genk,16/17
45,56,Internazionale,16/17
46,55,Rubin Kazan,16/17
47,54,Málaga CF,16/17
48,53,Celtic,16/17
49,52,Viktoria Plzen,16/17
50,51,FC Salzburg,16/17
51,50,Celta de Vigo,16/17
52,49,CSKA Moscow,16/17
53,48,Club Brugge,16/17
54,47,FC København,16/17
55,46,Sporting Braga,16/17
56,45,Leicester City,16/17
57,44,Sporting CP Lisbon,16/17
58,43,AS Saint-Étienne,16/17
59,42,AA Gent,16/17
60,41,Steaua Bucuresti,16/17
61,40,PAOK Thessaloniki,16/17
62,39,Ludogorets Razgrad,16/17
63,38,Levante UD,16/17
64,37,Real Betis,16/17
65,36,AZ Alkmaar,16/17
66,35,FK Krasnodar,16/17
67,34,Anzhi Makhachkala,16/17
68,33,Newcastle United,16/17
69,32,BATE Borisov,16/17
70,31,Girondins Bordeaux,16/17
71,30,Everton,16/17
72,29,Young Boys,16/17
73,28,Rapid Wien,16/17
74,27,Legia Warsaw,16/17
75,26,Olympique Marseille,16/17
76,25,Eintracht Frankfurt,16/17
77,24,Torino,16/17
78,23,Dinamo Moscow,16/17
79,22,Real Sociedad,16/17
80,21,Trabzonspor,16/17
81,20,VfB Stuttgart,16/17
82,19,APOEL Nicosia,16/17
83,18,Dinamo Zagreb,16/17
84,17,Hannover 96,16/17
85,16,Slovan Liberec,16/17
